Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,P2PActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
51.84442,0.53210676,52.078613212481564,-1.0113322863528584,0,0.9499382,6321.431,-0.94868726,4,1,false,false,false,-17.076675,2.5524805,8.907497,1.4997014,-0.38150907,3
51.87373,0.5322538,52.07860782038057,-1.0113232445955909,0,0.94993836,6309.176,-0.9437562,4,1,false,false,false,-17.25013,2.4035187,8.503075,1.4933178,-0.38271955,3
51.900055,0.53240085,52.0786023383198,-1.0113142028383235,0,0.95388407,6309.6465,-0.9333135,4,1,false,false,false,-17.551413,2.3587904,8.9458475,1.4869337,-0.3840696,3
51.925163,0.5325479,52.078596855710494,-1.011305160636,0,0.9726263,6325.3784,-0.91765,4,1,false,false,false,-18.07698,2.3235507,9.549985,1.4804767,-0.39147875,3
51.94928,0.53269494,52.07859137364972,-1.0112962648570936,0,0.9992603,6344.46,-0.8938654,4,1,false,false,false,-17.947592,2.3525035,8.978767,1.4739,-0.3978698,3
51.977684,0.5328419,52.07858580162918,-1.0112875146114924,0,1.0000001,6350.8965,-0.8642797,4,1,false,false,false,-17.84886,2.7426903,8.996265,1.4672891,-0.3939095,3
52.009785,0.5329889,52.07858022960864,-1.011278618832586,0,1,6335.611,-0.83556396,4,1,false,false,false,-18.881762,2.8185644,10.041286,1.4608331,-0.38061193,3
52.039963,0.5331359,52.0785746575881,-1.0112698685869848,0,1,6325.956,-0.80423766,4,1,false,false,false,-19.046616,2.6591542,9.75737,1.4545972,-0.36787468,3
52.06619,0.5332829,52.07856899560778,-1.0112611183413833,0,1,6338.906,-0.76334095,4,1,false,false,false,-18.799473,2.5152063,9.347654,1.4484802,-0.3658931,3
52.0947,0.5334299,52.07856333362747,-1.011252514074143,0,1,6357.87,-0.7221538,4,1,false,false,false,-18.874949,2.7441564,9.819572,1.4424338,-0.3589355,3
52.124172,0.5335769,52.078557581687384,-1.011243909806903,0,1,6356.1807,-0.6777773,4,1,false,false,false,-18.600365,2.7862866,9.400255,1.436528,-0.3495188,3
52.157284,0.533724,52.0785518297473,-1.0112353055396628,0,1,6349.2744,-0.63572216,4,1,false,false,false,-18.776293,2.7993674,9.532123,1.4308512,-0.3320706,3
52.187477,0.53387105,52.07854607835574,-1.0112268468057277,0,1,6348.522,-0.59511507,4,1,false,false,false,-18.586836,2.743305,9.600412,1.4253978,-0.3225686,3
52.218147,0.53401816,52.078540236455886,-1.0112183885168486,0,1,6361.8853,-0.5553799,4,1,false,false,false,-17.976013,2.7377877,8.937752,1.4201071,-0.3110208,3
52.250137,0.5341653,52.07853439510456,-1.0112099297829134,0,1,6368.754,-0.506945,4,1,false,false,false,-17.536293,2.844495,8.867848,1.4150257,-0.29716593,3
52.283974,0.5343125,52.07852846324493,-1.0112016174723955,0,1,6369.3237,-0.46488976,4,1,false,false,false,-17.730412,2.9037244,9.202657,1.4101632,-0.2854794,3
52.317417,0.53445977,52.078522531933835,-1.0111931587384604,0,1,6369.0166,-0.42573693,4,1,false,false,false,-17.444572,2.8344214,8.98922,1.4054792,-0.27759087,3
52.351437,0.53460705,52.0785166000742,-1.0111849919612474,0,1,6377.004,-0.39122465,4,1,false,false,false,-17.094294,2.8574674,8.973461,1.4008482,-0.27901974,3
52.38706,0.53475446,52.07851057880333,-1.0111766792056733,0,1,6382.28,-0.35990164,4,1,false,false,false,-16.913162,2.9242387,8.998078,1.3962132,-0.27573144,3
52.424213,0.53490186,52.07850455753246,-1.0111685124284604,0,1,6379.973,-0.33727995,4,1,false,false,false,-16.956396,3.0563002,9.135896,1.3916911,-0.26677206,3
52.462578,0.5350494,52.07849853571306,-1.0111604916296086,0,1,6371.0225,-0.33263943,4,1,false,false,false,-17.18066,2.9996982,9.408976,1.3873243,-0.25760293,3
52.49956,0.53519696,52.07849242448242,-1.0111523248523957,0,1,6367.346,-0.34482062,4,1,false,false,false,-16.83645,2.9383576,9.097005,1.383091,-0.25085282,3
52.536484,0.5353447,52.07848631325177,-1.0111443036084877,0,1,6374.3335,-0.36773163,4,1,false,false,false,-16.811508,2.9154766,9.273835,1.3789793,-0.24321222,3
52.574093,0.5354925,52.07848020202113,-1.011136282809636,0,1,6374.765,-0.3912247,4,1,false,false,false,-17.540838,2.944547,10.034151,1.3749583,-0.23966798,3
52.610836,0.5356403,52.07847400083072,-1.0111284075440892,0,1,6368.3022,-0.40688553,4,1,false,false,false,-17.28521,2.8515131,9.682148,1.3709697,-0.23927006,3
52.647724,0.5357883,52.07846779964031,-1.0111205327235984,0,1,6374.4854,-0.41268682,4,1,false,false,false,-16.83796,2.882892,9.428297,1.3669647,-0.24070731,3
52.6868,0.5359364,52.07846159844989,-1.0111126574580516,0,1,6379.0767,-0.41210583,4,1,false,false,false,-16.560272,2.9917002,9.321257,1.3630323,-0.22870286,3
52.726536,0.5360846,52.078455307299706,-1.0111047821925048,0,1,6369.2285,-0.4121059,4,1,false,false,false,-16.17782,2.941913,9.062901,1.3593866,-0.20903413,3
52.764736,0.5362329,52.07844901669805,-1.0110970529053191,0,1,6372.1416,-0.41935605,4,1,false,false,false,-15.804855,2.7419157,8.861682,1.3559918,-0.19896537,3
52.801807,0.5363814,52.078442725547866,-1.0110893236181335,0,1,6390.2207,-0.43298715,4,1,false,false,false,-15.041285,2.7079167,8.335302,1.3526589,-0.20069395,3
52.840076,0.53652996,52.07843634443791,-1.0110817403093089,0,1,6406.3945,-0.4512599,4,1,false,false,false,-14.399635,2.8005502,8.072117,1.3492212,-0.21001083,3
52.880817,0.5366786,52.07842996332795,-1.0110740110221232,0,1,6409.0635,-0.46982074,4,1,false,false,false,-14.624802,2.9085734,8.432071,1.3456239,-0.22087772,3
52.922,0.53682745,52.078423582766526,-1.0110664272682426,0,1,6403.3843,-0.48896375,4,1,false,false,false,-14.652446,2.8634343,8.901704,1.341828,-0.23484507,3
